uri,artist,name,danceability,energy,key,tempo,duration_ms,popularity,track
2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,,0.871,0.481,7,103.063,261200,78,La flaca
3hJLKtTpgct9Y9wKww0BiR,The Rolling Stones,,0.795,0.71,9,109.689,288667,73,Miss You - Remastered
4lK6lXhFBHIQQyF9Kdck4d,Intoxicados,,0.451,0.618,8,107.983,198385,51,Señor Kioskero
4Qmqux7KiBuz31IcJzHt05,Babasónicos,,0.513,0.568,8,122.032,250761,55,Bye Bye
7F3uo3304R2CTvOseU3H7u,Imagine Dragons,,0.473,0.667,1,134.938,201240,0,Whatever It Takes
1crk0MXXyFQ1zVow6YTJOo,Vicentico,,0.647,0.732,0,158.046,239040,65,Los Caminos de la Vida
04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,,0.393,0.858,4,176.042,228360,82,Centuries
22TyikLrwsaXhsL31mewls,Eladio Carrion,,0.382,0.618,2,183.061,161311,68,Que Cojones
5YXvG4PL4Wisyx2ScUxVFF,Guns N' Roses,,0.274,0.995,10,100.656,182133,51,Right Next Door To Hell
4jwV8xaRDADxcSMXBJB7pL,Sergio Valentino,,0.153,0.263,8,91.195,112736,2,Lost Forever
